country, city, continent
Argentina, Buenos Ares, South America
Australia, Canberra, Oceania
Australia, Melbourne, Oceania
Australia, Sydney, Oceania
Bahamas, Nassau, North America
Barbados, Bridgetown, North America
Belgium, Brussles, Europe
Brazil, Rio De Jinero, South America
Canada, Toronto, North America
Canada, Ottowa, North America
China, Beijing, Asia
China, Shanghai, Asia
China, Chonching, Asia
Colombia, Bogota, South America
Denmark, Copenhagen, Europe
Egypt, Alexandria, Africa
Egypt, Cairo, Africa
Fiji, Suva, North America
Finland, Helsinki, Europe
France, Paris, Europe
France, Marseille, Europe
France, Lyon, Europe
Germany, Berlin, Europe
Germany, Munich, Europe
Greece, Athens, Europe
Hungary, Budapest, Europe
India, Mumbai, Asia
India, Delhi, Asia
India, Hydrabad, Asia
Ireland, Dublin, Europe
Israel, Tel-Aviv, Asia
Israel, Jerusalem, Asia
Italy, Rome, Europe
Italy, Milan, Europe
Italy, Venice, Europe
Jamaica, Kingston, North America
Japan, Tokyo, Asia
Japan, Okinawa, Asia
Japan, Yokohama, Asia
Netherlands, Amsterdam, Europe
New Zealand, Auckland, Oceania
North Korea, Pyongyang, Asia
Poland, Warsaw, Europe
Portugal, Lisbon, Europe
Russia, Moscow, Europe
Russia, Minsk, Europe
Russia, St. Petersburg, Europe
Singapore, Singapore, Asia
South Africa, Cape Town, Africa
South Africa, Johannesburg, Africa
South Korea, Seoul, Asia
Spain, Madrid, Europe
Spain, Barcelona, Europe
Switzerland, Zurich, Europe
Thailand, Bangkok, Asia
United Arab Emirates, Dubai, Asia
United Arab Emirates, Abu Dhabi, Asia
United States of America, Los Angeles, North America
United States of America, Miami, North America
United States of America, New York, North America
United States of America, Washington, North America
